SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW) ,Total Sum
152,DC:A6:32:33:AA:47,2020-07-07 17:33:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
153,DC:A6:32:33:AA:47,2020-07-07 17:33:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
154,DC:A6:32:33:AA:47,2020-07-07 17:33:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
155,DC:A6:32:33:AA:47,2020-07-07 17:33:45,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
156,DC:A6:32:33:AA:47,2020-07-07 17:33:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
157,DC:A6:32:33:AA:47,2020-07-07 17:33:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
158,DC:A6:32:33:AA:47,2020-07-07 17:33:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
159,DC:A6:32:33:AA:47,2020-07-07 17:33:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
160,DC:A6:32:33:AA:47,2020-07-07 17:33:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
161,DC:A6:32:33:AA:47,2020-07-07 17:33:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
162,DC:A6:32:33:AA:47,2020-07-07 17:33:55,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
163,DC:A6:32:33:AA:47,2020-07-07 17:33:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
164,DC:A6:32:33:AA:47,2020-07-07 17:33:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
165,DC:A6:32:33:AA:47,2020-07-07 17:33:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
166,DC:A6:32:33:AA:47,2020-07-07 17:34:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
167,DC:A6:32:33:AA:47,2020-07-07 17:34:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
168,DC:A6:32:33:AA:47,2020-07-07 17:34:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
169,DC:A6:32:33:AA:47,2020-07-07 17:34:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
170,DC:A6:32:33:AA:47,2020-07-07 17:34:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
171,DC:A6:32:33:AA:47,2020-07-07 17:34:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
172,DC:A6:32:33:AA:47,2020-07-07 17:34:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
173,DC:A6:32:33:AA:47,2020-07-07 17:34:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
174,DC:A6:32:33:AA:47,2020-07-07 17:34:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
175,DC:A6:32:33:AA:47,2020-07-07 17:34:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
176,DC:A6:32:33:AA:47,2020-07-07 17:34:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
