SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW ),Total Sum
404,DC:A6:32:33:AA:47,2020-07-07 18:33:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
405,DC:A6:32:33:AA:47,2020-07-07 18:33:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
406,DC:A6:32:33:AA:47,2020-07-07 18:33:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
407,DC:A6:32:33:AA:47,2020-07-07 18:33:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
408,DC:A6:32:33:AA:47,2020-07-07 18:33:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
409,DC:A6:32:33:AA:47,2020-07-07 18:33:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
410,DC:A6:32:33:AA:47,2020-07-07 18:33:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
411,DC:A6:32:33:AA:47,2020-07-07 18:33:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
412,DC:A6:32:33:AA:47,2020-07-07 18:33:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
413,DC:A6:32:33:AA:47,2020-07-07 18:33:55,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
414,DC:A6:32:33:AA:47,2020-07-07 18:33:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
415,DC:A6:32:33:AA:47,2020-07-07 18:33:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-48,0.00001584893192,
416,DC:A6:32:33:AA:47,2020-07-07 18:34:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
417,DC:A6:32:33:AA:47,2020-07-07 18:34:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
418,DC:A6:32:33:AA:47,2020-07-07 18:34:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
419,DC:A6:32:33:AA:47,2020-07-07 18:34:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
420,DC:A6:32:33:AA:47,2020-07-07 18:34:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
421,DC:A6:32:33:AA:47,2020-07-07 18:34:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
422,DC:A6:32:33:AA:47,2020-07-07 18:34:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
423,DC:A6:32:33:AA:47,2020-07-07 18:34:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
424,DC:A6:32:33:AA:47,2020-07-07 18:34:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
425,DC:A6:32:33:AA:47,2020-07-07 18:34:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
426,DC:A6:32:33:AA:47,2020-07-07 18:34:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
427,DC:A6:32:33:AA:47,2020-07-07 18:34:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
428,DC:A6:32:33:AA:47,2020-07-07 18:34:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
429,DC:A6:32:33:AA:47,2020-07-07 18:34:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
430,DC:A6:32:33:AA:47,2020-07-07 18:34:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-49,0.00001258925412,
431,DC:A6:32:33:AA:47,2020-07-07 18:34:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
432,DC:A6:32:33:AA:47,2020-07-07 18:34:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
433,DC:A6:32:33:AA:47,2020-07-07 18:34:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
434,DC:A6:32:33:AA:47,2020-07-07 18:34:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
