SCAN,2ft_5,2ft_4,2ft_3,2ft_2,2ft_1,Avg,Cum Sum
276,0.0005011872336,0.0001258925412,0.0005011872336,0.0003981071706,0.0001258925412,0.000330453344,0.06273820398
277,0.0001258925412,0.0001,0.0001258925412,0.0001258925412,0.0001,0.0001155355247,0.06285373951
278,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0005011872336,0.0002009514797,0.06305469099
279,0.0003981071706,0.0003981071706,0.0001258925412,0.0001258925412,0.0005011872336,0.0003098373314,0.06336452832
280,0.0005011872336,0.0001258925412,0.0001,0.0001258925412,0.0001258925412,0.0001957729714,0.06356030129
281,0.0001584893192,0.0001258925412,0.0001258925412,0.0001584893192,0.0001258925412,0.0001389312524,0.06369923254
282,0.0001258925412,0.0003981071706,0.0001258925412,0.0001258925412,0.0003981071706,0.000234778393,0.06393401094
283,0.0005011872336,0.0003981071706,0.0001258925412,0.0005011872336,0.0005011872336,0.0004055122825,0.06433952322
284,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0001258925412,0.0002009514797,0.0645404747
285,0.0001258925412,0.0001258925412,0.0001258925412,0.0001584893192,0.0001584893192,0.0001389312524,0.06467940595
286,0.0001584893192,0.0001258925412,0.0001258925412,0.0005011872336,0.0001258925412,0.0002074708353,0.06488687679
287,0.0001584893192,0.0001584893192,0.0005011872336,0.0005011872336,0.0005011872336,0.0003641080678,0.06525098485
288,0.0001584893192,0.0001258925412,0.0001258925412,0.0001258925412,0.0003981071706,0.0001868548227,0.06543783968
289,0.0001584893192,0.0001584893192,0.0001258925412,0.0001584893192,0.0005011872336,0.0002205095465,0.06565834922
290,0.0005011872336,0.0001258925412,0.0001258925412,0.0001258925412,0.0001584893192,0.0002074708353,0.06586582006
291,0.0001584893192,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001324118968,0.06599823196
292,0.0001258925412,0.0005011872336,0.0001,0.0001258925412,0.0001258925412,0.0001957729714,0.06619400493
293,0.0001584893192,0.0005011872336,0.0001,0.0001584893192,0.0001258925412,0.0002088116826,0.06640281661
294,0.0005011872336,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0002009514797,0.06660376809
295,0.0001258925412,0.0001258925412,0.0001,0.0005011872336,0.0001258925412,0.0001957729714,0.06679954106
296,0.0005011872336,0.0001584893192,0.0001258925412,0.0001584893192,0.0001258925412,0.0002139901909,0.06701353125
297,0.0001584893192,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001324118968,0.06714594315
298,0.0001584893192,0.0001258925412,0.0001258925412,0.0001258925412,0.0005011872336,0.0002074708353,0.06735341398
299,0.0001584893192,0.0005011872336,0.0001,0.0001258925412,0.0005011872336,0.0002773512655,0.06763076525
300,0.0001258925412,0.0001258925412,0.0003981071706,0.0005011872336,0.0001258925412,0.0002553944056,0.06788615965
301,0.0005011872336,0.0001258925412,0.0001584893192,0.0001584893192,0.0001258925412,0.0002139901909,0.06810014985
302,0.0005011872336,0.0001584893192,0.0001258925412,0.0001258925412,0.0001584893192,0.0002139901909,0.06831414004
303,0.0001584893192,0.0005011872336,0.0001258925412,0.0001584893192,0.0001258925412,0.0002139901909,0.06852813023
304,0.0005011872336,0.0005011872336,0.0003981071706,0.0001584893192,0.0005011872336,0.0004120316381,0.06894016187
