SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW ),Total Sum
74,DC:A6:32:33:AA:47,2020-07-07 18:03:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
75,DC:A6:32:33:AA:47,2020-07-07 18:03:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
76,DC:A6:32:33:AA:47,2020-07-07 18:03:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
77,DC:A6:32:33:AA:47,2020-07-07 18:03:33,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
78,DC:A6:32:33:AA:47,2020-07-07 18:03:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
79,DC:A6:32:33:AA:47,2020-07-07 18:03:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
80,DC:A6:32:33:AA:47,2020-07-07 18:03:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
81,DC:A6:32:33:AA:47,2020-07-07 18:03:39,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
82,DC:A6:32:33:AA:47,2020-07-07 18:03:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
83,DC:A6:32:33:AA:47,2020-07-07 18:03:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
84,DC:A6:32:33:AA:47,2020-07-07 18:03:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
85,DC:A6:32:33:AA:47,2020-07-07 18:03:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
86,DC:A6:32:33:AA:47,2020-07-07 18:03:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
87,DC:A6:32:33:AA:47,2020-07-07 18:03:45,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
88,DC:A6:32:33:AA:47,2020-07-07 18:03:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
89,DC:A6:32:33:AA:47,2020-07-07 18:03:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
90,DC:A6:32:33:AA:47,2020-07-07 18:03:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
91,DC:A6:32:33:AA:47,2020-07-07 18:03:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
92,DC:A6:32:33:AA:47,2020-07-07 18:03:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
93,DC:A6:32:33:AA:47,2020-07-07 18:03:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
94,DC:A6:32:33:AA:47,2020-07-07 18:03:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
95,DC:A6:32:33:AA:47,2020-07-07 18:03:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
96,DC:A6:32:33:AA:47,2020-07-07 18:03:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
97,DC:A6:32:33:AA:47,2020-07-07 18:03:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
98,DC:A6:32:33:AA:47,2020-07-07 18:04:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
99,DC:A6:32:33:AA:47,2020-07-07 18:04:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
100,DC:A6:32:33:AA:47,2020-07-07 18:04:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54,0.000003981071706,
101,DC:A6:32:33:AA:47,2020-07-07 18:04:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
102,DC:A6:32:33:AA:47,2020-07-07 18:04:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
103,DC:A6:32:33:AA:47,2020-07-07 18:04:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
104,DC:A6:32:33:AA:47,2020-07-07 18:04:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
105,DC:A6:32:33:AA:47,2020-07-07 18:04:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
106,DC:A6:32:33:AA:47,2020-07-07 18:04:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
107,DC:A6:32:33:AA:47,2020-07-07 18:04:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
108,DC:A6:32:33:AA:47,2020-07-07 18:04:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
109,DC:A6:32:33:AA:47,2020-07-07 18:04:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
110,DC:A6:32:33:AA:47,2020-07-07 18:04:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
111,DC:A6:32:33:AA:47,2020-07-07 18:04:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
112,DC:A6:32:33:AA:47,2020-07-07 18:04:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
113,DC:A6:32:33:AA:47,2020-07-07 18:04:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
114,DC:A6:32:33:AA:47,2020-07-07 18:04:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
115,DC:A6:32:33:AA:47,2020-07-07 18:04:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
116,DC:A6:32:33:AA:47,2020-07-07 18:04:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
117,DC:A6:32:33:AA:47,2020-07-07 18:04:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
118,DC:A6:32:33:AA:47,2020-07-07 18:04:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
119,DC:A6:32:33:AA:47,2020-07-07 18:04:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
120,DC:A6:32:33:AA:47,2020-07-07 18:04:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
121,DC:A6:32:33:AA:47,2020-07-07 18:04:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
122,DC:A6:32:33:AA:47,2020-07-07 18:04:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
123,DC:A6:32:33:AA:47,2020-07-07 18:04:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
124,DC:A6:32:33:AA:47,2020-07-07 18:04:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
125,DC:A6:32:33:AA:47,2020-07-07 18:04:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
126,DC:A6:32:33:AA:47,2020-07-07 18:04:39,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
127,DC:A6:32:33:AA:47,2020-07-07 18:04:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
128,DC:A6:32:33:AA:47,2020-07-07 18:04:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
129,DC:A6:32:33:AA:47,2020-07-07 18:04:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
130,DC:A6:32:33:AA:47,2020-07-07 18:04:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
131,DC:A6:32:33:AA:47,2020-07-07 18:04:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
132,DC:A6:32:33:AA:47,2020-07-07 18:04:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
133,DC:A6:32:33:AA:47,2020-07-07 18:04:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
134,DC:A6:32:33:AA:47,2020-07-07 18:04:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
135,DC:A6:32:33:AA:47,2020-07-07 18:04:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
136,DC:A6:32:33:AA:47,2020-07-07 18:04:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
137,DC:A6:32:33:AA:47,2020-07-07 18:04:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
138,DC:A6:32:33:AA:47,2020-07-07 18:04:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
139,DC:A6:32:33:AA:47,2020-07-07 18:04:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
140,DC:A6:32:33:AA:47,2020-07-07 18:04:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
141,DC:A6:32:33:AA:47,2020-07-07 18:04:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
142,DC:A6:32:33:AA:47,2020-07-07 18:04:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
143,DC:A6:32:33:AA:47,2020-07-07 18:05:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54,0.000003981071706,
144,DC:A6:32:33:AA:47,2020-07-07 18:05:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
145,DC:A6:32:33:AA:47,2020-07-07 18:05:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
146,DC:A6:32:33:AA:47,2020-07-07 18:05:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
147,DC:A6:32:33:AA:47,2020-07-07 18:05:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
148,DC:A6:32:33:AA:47,2020-07-07 18:05:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
149,DC:A6:32:33:AA:47,2020-07-07 18:05:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
150,DC:A6:32:33:AA:47,2020-07-07 18:05:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
151,DC:A6:32:33:AA:47,2020-07-07 18:05:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
152,DC:A6:32:33:AA:47,2020-07-07 18:05:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
153,DC:A6:32:33:AA:47,2020-07-07 18:05:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
154,DC:A6:32:33:AA:47,2020-07-07 18:05:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
155,DC:A6:32:33:AA:47,2020-07-07 18:05:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
156,DC:A6:32:33:AA:47,2020-07-07 18:05:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
157,DC:A6:32:33:AA:47,2020-07-07 18:05:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
158,DC:A6:32:33:AA:47,2020-07-07 18:05:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
159,DC:A6:32:33:AA:47,2020-07-07 18:05:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54,0.000003981071706,
160,DC:A6:32:33:AA:47,2020-07-07 18:05:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
161,DC:A6:32:33:AA:47,2020-07-07 18:05:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
162,DC:A6:32:33:AA:47,2020-07-07 18:05:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
163,DC:A6:32:33:AA:47,2020-07-07 18:05:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
164,DC:A6:32:33:AA:47,2020-07-07 18:05:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
165,DC:A6:32:33:AA:47,2020-07-07 18:05:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
166,DC:A6:32:33:AA:47,2020-07-07 18:05:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
167,DC:A6:32:33:AA:47,2020-07-07 18:05:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
168,DC:A6:32:33:AA:47,2020-07-07 18:05:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-49,0.00001258925412,
