SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Total Sum
261,DC:A6:32:33:AA:47,2020-07-07 17:08:40,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
262,DC:A6:32:33:AA:47,2020-07-07 17:08:42,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
263,DC:A6:32:33:AA:47,2020-07-07 17:08:44,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
264,DC:A6:32:33:AA:47,2020-07-07 17:08:46,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
265,DC:A6:32:33:AA:47,2020-07-07 17:08:47,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
266,DC:A6:32:33:AA:47,2020-07-07 17:08:48,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
267,DC:A6:32:33:AA:47,2020-07-07 17:08:49,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
268,DC:A6:32:33:AA:47,2020-07-07 17:08:50,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
269,DC:A6:32:33:AA:47,2020-07-07 17:08:51,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
270,DC:A6:32:33:AA:47,2020-07-07 17:08:52,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
271,DC:A6:32:33:AA:47,2020-07-07 17:08:53,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
272,DC:A6:32:33:AA:47,2020-07-07 17:08:55,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
273,DC:A6:32:33:AA:47,2020-07-07 17:08:56,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
274,DC:A6:32:33:AA:47,2020-07-07 17:08:58,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
275,DC:A6:32:33:AA:47,2020-07-07 17:08:58,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
276,DC:A6:32:33:AA:47,2020-07-07 17:09:00,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
277,DC:A6:32:33:AA:47,2020-07-07 17:09:02,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-49,0.00001258925412,
278,DC:A6:32:33:AA:47,2020-07-07 17:09:04,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
279,DC:A6:32:33:AA:47,2020-07-07 17:09:06,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
280,DC:A6:32:33:AA:47,2020-07-07 17:09:07,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
281,DC:A6:32:33:AA:47,2020-07-07 17:09:09,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
282,DC:A6:32:33:AA:47,2020-07-07 17:09:11,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
283,DC:A6:32:33:AA:47,2020-07-07 17:09:13,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
284,DC:A6:32:33:AA:47,2020-07-07 17:09:15,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
285,DC:A6:32:33:AA:47,2020-07-07 17:09:16,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
286,DC:A6:32:33:AA:47,2020-07-07 17:09:18,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
287,DC:A6:32:33:AA:47,2020-07-07 17:09:20,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
288,DC:A6:32:33:AA:47,2020-07-07 17:09:20,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
289,DC:A6:32:33:AA:47,2020-07-07 17:09:22,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
290,DC:A6:32:33:AA:47,2020-07-07 17:09:24,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
291,DC:A6:32:33:AA:47,2020-07-07 17:09:26,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
292,DC:A6:32:33:AA:47,2020-07-07 17:09:27,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
293,DC:A6:32:33:AA:47,2020-07-07 17:09:28,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
294,DC:A6:32:33:AA:47,2020-07-07 17:09:29,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
295,DC:A6:32:33:AA:47,2020-07-07 17:09:30,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
296,DC:A6:32:33:AA:47,2020-07-07 17:09:31,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
297,DC:A6:32:33:AA:47,2020-07-07 17:09:32,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
298,DC:A6:32:33:AA:47,2020-07-07 17:09:33,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
299,DC:A6:32:33:AA:47,2020-07-07 17:09:35,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
300,DC:A6:32:33:AA:47,2020-07-07 17:09:37,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
301,DC:A6:32:33:AA:47,2020-07-07 17:09:39,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
302,DC:A6:32:33:AA:47,2020-07-07 17:09:41,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
303,DC:A6:32:33:AA:47,2020-07-07 17:09:42,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
304,DC:A6:32:33:AA:47,2020-07-07 17:09:43,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-47,0.00001995262315,
305,DC:A6:32:33:AA:47,2020-07-07 17:09:44,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-59,0.000001258925412,
306,DC:A6:32:33:AA:47,2020-07-07 17:09:45,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
307,DC:A6:32:33:AA:47,2020-07-07 17:09:47,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
308,DC:A6:32:33:AA:47,2020-07-07 17:09:49,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
309,DC:A6:32:33:AA:47,2020-07-07 17:09:51,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
310,DC:A6:32:33:AA:47,2020-07-07 17:09:52,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
311,DC:A6:32:33:AA:47,2020-07-07 17:09:53,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
312,DC:A6:32:33:AA:47,2020-07-07 17:09:54,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
313,DC:A6:32:33:AA:47,2020-07-07 17:09:55,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
314,DC:A6:32:33:AA:47,2020-07-07 17:09:56,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
315,DC:A6:32:33:AA:47,2020-07-07 17:09:57,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
316,DC:A6:32:33:AA:47,2020-07-07 17:09:59,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
