SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,POWER ( mW),Sum
263,DC:A6:32:33:AA:47,2020-07-07 17:23:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
264,DC:A6:32:33:AA:47,2020-07-07 17:23:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
265,DC:A6:32:33:AA:47,2020-07-07 17:23:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
266,DC:A6:32:33:AA:47,2020-07-07 17:23:16,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
267,DC:A6:32:33:AA:47,2020-07-07 17:23:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
268,DC:A6:32:33:AA:47,2020-07-07 17:23:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
269,DC:A6:32:33:AA:47,2020-07-07 17:23:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
270,DC:A6:32:33:AA:47,2020-07-07 17:23:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
271,DC:A6:32:33:AA:47,2020-07-07 17:23:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
272,DC:A6:32:33:AA:47,2020-07-07 17:23:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
273,DC:A6:32:33:AA:47,2020-07-07 17:23:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
274,DC:A6:32:33:AA:47,2020-07-07 17:23:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
275,DC:A6:32:33:AA:47,2020-07-07 17:23:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
276,DC:A6:32:33:AA:47,2020-07-07 17:23:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
277,DC:A6:32:33:AA:47,2020-07-07 17:23:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
278,DC:A6:32:33:AA:47,2020-07-07 17:23:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
279,DC:A6:32:33:AA:47,2020-07-07 17:23:33,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
280,DC:A6:32:33:AA:47,2020-07-07 17:23:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
