SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW),Total Sum
291,DC:A6:32:33:AA:47,2020-07-07 17:47:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
292,DC:A6:32:33:AA:47,2020-07-07 17:47:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
293,DC:A6:32:33:AA:47,2020-07-07 17:47:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
294,DC:A6:32:33:AA:47,2020-07-07 17:47:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
295,DC:A6:32:33:AA:47,2020-07-07 17:47:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
296,DC:A6:32:33:AA:47,2020-07-07 17:47:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
297,DC:A6:32:33:AA:47,2020-07-07 17:47:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
298,DC:A6:32:33:AA:47,2020-07-07 17:47:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
299,DC:A6:32:33:AA:47,2020-07-07 17:47:16,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
300,DC:A6:32:33:AA:47,2020-07-07 17:47:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
301,DC:A6:32:33:AA:47,2020-07-07 17:47:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
302,DC:A6:32:33:AA:47,2020-07-07 17:47:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
303,DC:A6:32:33:AA:47,2020-07-07 17:47:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
